block_number,timestamp,base_fee_per_gas
24443444,1770932471,55175834
24443445,1770932483,51728250
24443446,1770932495,55696299
24443447,1770932507,54584268
24443448,1770932519,51867126
24443449,1770932531,53162262
24443450,1770932543,53415057
24443451,1770932555,51916078
24443452,1770932567,47932188
24443453,1770932579,53920595
24443454,1770932591,54446737
24443455,1770932603,53911911
24443456,1770932615,51919289
24443457,1770932627,54589212
24443458,1770932639,55313124
24443459,1770932651,53490224
24443460,1770932663,54893748
24443461,1770932675,52203688
24443462,1770932687,49445830
24443463,1770932699,45252018
24443464,1770932711,49263902
24443465,1770932723,55027250
24443466,1770932735,57656468
24443467,1770932747,54335859
24443468,1770932759,57839411
24443469,1770932771,54120625
24443470,1770932783,55390080
24443471,1770932795,55247145
24443472,1770932807,55069840
24443473,1770932819,54214782
24443474,1770932831,51063855
24443475,1770932843,46417269
24443476,1770932855,51829509
24443477,1770932867,55380751
24443478,1770932879,57547841
24443479,1770932891,56784287
24443480,1770932903,55021386
24443481,1770932915,54209657
24443482,1770932927,54520960
24443483,1770932939,53341805
24443484,1770932951,51558912
24443485,1770932963,51014532
24443486,1770932975,49375337
24443487,1770932987,45514224
24443488,1770932999,49351631
24443489,1770933011,53458234
24443490,1770933023,60136005
24443491,1770933035,58251133
24443492,1770933047,57791473
24443493,1770933059,53819140
24443494,1770933071,51213679
24443495,1770933083,50102399
24443496,1770933095,52462160
24443497,1770933107,48890566
24443498,1770933119,52686807
24443499,1770933131,51313563
24443500,1770933143,57724585
24443501,1770933155,55474703
24443502,1770933167,53863104
24443503,1770933179,59420528
24443504,1770933191,56824653
24443505,1770933203,53596649
24443506,1770933215,52724812
24443507,1770933227,53722564
24443508,1770933239,53251986
24443509,1770933251,53878921
24443510,1770933263,54623102
24443511,1770933275,52784693
24443512,1770933287,49937519
24443513,1770933299,48387781
24443514,1770933311,54421582
24443515,1770933323,56416633
24443516,1770933335,55214156
24443517,1770933347,55187951
24443518,1770933359,52697843
24443519,1770933371,48260441
24443520,1770933383,45699255
24443521,1770933395,51017079
24443522,1770933407,52938769
24443523,1770933419,51532105
24443524,1770933431,50335663
24443525,1770933443,50347385
24443526,1770933455,51058244
24443527,1770933467,50839912
24443528,1770933479,51383149
24443529,1770933491,49081117
24443530,1770933503,52591932
24443531,1770933515,47666002
24443532,1770933527,51437262
24443533,1770933539,51837751
24443534,1770933551,49815240
24443535,1770933563,54414064
24443536,1770933575,55352304
24443537,1770933587,55954663
24443538,1770933599,52213790
24443539,1770933611,53139533
24443540,1770933623,53992443
24443541,1770933635,54564852
24443542,1770933647,52537556
24443543,1770933659,51365861
24443544,1770933671,51990966
24443545,1770933683,49412889
24443546,1770933695,55588545
24443547,1770933707,51739961
24443548,1770933719,58203469
24443549,1770933731,56210003
24443550,1770933743,54351529
24443551,1770933755,57942842
24443552,1770933767,57004238
24443553,1770933779,55513775
24443554,1770933791,51802791
24443555,1770933803,53417230
24443556,1770933815,54075464
24443557,1770933827,49396252
24443558,1770933839,55567051
24443559,1770933851,57001041
24443560,1770933863,60133211
24443561,1770933875,58925677
24443562,1770933887,57847379
24443563,1770933899,52572872
24443564,1770933911,56509296
24443565,1770933923,56291493
24443566,1770933935,52539609
24443567,1770933947,55830412
24443568,1770933959,54793850
24443569,1770933971,52604538
24443570,1770933983,54721634
24443571,1770933995,55865886
24443572,1770934007,56570045
24443573,1770934019,59494065
24443574,1770934031,53958263
24443575,1770934043,60128638
24443576,1770934055,58275878
24443577,1770934067,56799072
24443578,1770934079,51359438
24443579,1770934091,52705581
24443580,1770934103,52906539
24443581,1770934115,48258387
24443582,1770934127,54289864
24443583,1770934139,59568671
24443584,1770934151,62526098
24443585,1770934163,66008515
24443586,1770934175,62927251
24443587,1770934187,68193966
